Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.036078941,0.035565672,0.035273991,0.035069877,0.034869327,0.034660844,0.034456619,0.034260068,0.034051827,0.033858134,0.033646243,0.033417434,0.033202736,0.033043105,0.032974461,0.033010927,0.033131233,0.033276763,0.033348896,0.033279531,0.033024554,0.03260462,0.032147622,0.031833954,0.031733943,0.031925932,0.032342573,0.032748232,0.032769158,0.032179174,0.030948733,0.029308324,0.02758811,0.02607392,0.024899158,0.024035284,0.0234055,0.022914757,0.022469638,0.022010433,0.021530379,0.021054405,0.020615156,0.020254395,0.019994402,0.019835366,0.01975777,0.01973126,0.019713756,0.019672454,0.019598236,0.019499829,0.01938642,0.019272279,0.019168288,0.01907214,0.018982356,0.018895376,,
Africa Eastern and Southern,AFE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.471601733,0.465027617,0.465180718,0.458305789,0.451581644,0.442427936,0.432615395,0.424886016,0.419029083,0.414995022,0.407945518,0.400748741,0.390096778,0.380652001,0.373171141,0.363969106,0.353057804,0.348446732,0.336571552,0.326104764,0.316636705,0.307608642,0.300348631,0.291822437,0.291970003,0.285075696,0.276749406,0.269961044,0.264935292,0.256210363,0.249507827,0.243786243,0.236124265,0.230558066,0.224976941,0.21964784,0.21504967,0.209138627,0.206624549,0.201755914,0.197120442,0.194593603,0.194535767,0.196230501,0.193919709,0.189860669,0.186771505,0.187680819,0.186895956,0.183741764,0.209161822,0.214854009,0.210197258,0.20598747,0.200518509,0.195263804,0.189571409,0.184952195,,
Afghanistan,AFG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.834296137,0.823402423,0.812096571,0.800429194,0.783422145,0.770036679,0.754235411,0.737421529,0.721513173,0.704335395,0.688426162,0.670838018,0.653235128,0.63723721,0.62336652,0.611136766,0.600548435,0.592900233,0.589811693,0.592221016,0.600530881,0.614010398,0.630895604,0.648131897,0.662578726,0.673984382,0.681629893,0.680839607,0.666449123,0.637270529,0.594780847,0.546061684,0.494670125,0.451108146,0.422568761,0.405602287,0.397011416,0.393002857,0.379408956,0.369731275,0.355579342,0.339722879,0.328197388,0.316095697,0.304237805,0.294858052,0.287595724,0.281145696,0.274451602,0.267016055,0.258687574,0.249988945,0.241248789,0.232868228,0.225637519,0.21843806,0.212116389,0.207226304,,
Africa Western and Central,AFW,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.642041401,0.636950914,0.645886115,0.641789833,0.649102536,0.613271462,0.620556,0.61437763,0.646989398,0.600632279,0.575142737,0.527624706,0.553124593,0.502586531,0.485549528,0.476235533,0.426088468,0.404686385,0.389881958,0.393854927,0.361594699,0.360319904,0.352494115,0.364942379,0.367758584,0.384937641,0.374164961,0.368552434,0.359399136,0.357947346,0.362464595,0.358974463,0.355802886,0.351904995,0.356981511,0.355814056,0.349388467,0.344000021,0.341495488,0.331871906,0.320082621,0.318468955,0.320422913,0.307814953,0.306722439,0.300488041,0.296663657,0.292469327,0.275244751,0.27386819,0.270809251,0.269559844,0.264260346,0.257186947,0.250332026,0.24561794,0.239587552,0.233279288,,
Angola,AGO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.482694324,0.481412228,0.478923071,0.479512188,0.480021655,0.484319717,0.490090814,0.495497813,0.499683218,0.492329841,0.48003398,0.464076851,0.446340416,0.428891111,0.412870512,0.398371895,0.384931192,0.372235159,0.35988579,0.347668047,0.33562958,0.323914821,0.31256386,0.301619719,0.291106408,0.281004593,0.271300682,0.262015417,0.253169331,0.244759096,0.240837933,0.237016231,0.229444735,0.222160462,0.215127709,0.208322888,0.201727161,0.195317586,0.189073195,0.182977293,0.177035509,0.176946517,0.182104362,0.175923644,0.169808956,0.163772484,0.162637716,0.156713544,0.177665059,0.175541901,0.194049213,0.187191893,0.188347183,0.181873702,0.175725621,0.169888292,0.164337055,0.159040372,,
Albania,ALB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.260272322,0.254774241,0.249628252,0.244193514,0.246676437,0.248097095,0.248270501,0.247246661,0.244992662,0.243973366,0.242246623,0.240735474,0.238597811,0.237008771,0.234112085,0.233879975,0.230749706,0.227178321,0.222703367,0.218937372,0.215696229,0.211544968,0.207105585,0.202793733,0.198666874,0.194863091,0.191334493,0.187758406,0.180300582,0.176173011,0.176932095,0.178008333,0.178787942,0.179888862,0.181003481,0.182131941,0.183592252,0.184431666,0.185603475,0.187113936,0.18887821,0.189445462,0.190155599,0.190951982,0.178649285,0.195151488,0.194611681,0.206968107,0.208025977,0.214897181,0.214099226,0.213453243,0.213153848,0.213076442,0.213524268,0.215673928,0.211209007,0.213281858,,
Andorra,AND,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.069550702,0.065023734,0.060949595,0.057254094,0.053931615,0.050900947,0.048169557,0.04569131,0.043378302,0.041194645,0.039106801,0.037195462,0.035420799,0.033881077,0.032567986,0.031464351,0.030516647,0.029634898,0.028715004,0.027729252,0.026668089,0.02556564,0.024477407,0.023415913,0.022425044,0.021496131,0.020636002,0.019828287,0.01906505,0.018345931,0.017647266,0.016983119,0.016400433,0.015955071,0.015659255,0.015536877,0.015547747,0.015590895,0.01553567,0.015292858,0.01113685,0.012134536,0.011751845,0.010622951,0.010143145,0.009630224,0.009312789,0.009062724,0.009116634,0.009117389,0.009194249,0.00922028,0.010028476,0.010099352,0.010385547,0.010608707,0.010649766,0.010778101,,
Arab World,ARB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.404841282,0.393203579,0.384080806,0.376714205,0.370221277,0.357914979,0.349799286,0.338135033,0.330089249,0.32275991,0.323598294,0.311526249,0.303433168,0.297884436,0.289046329,0.283715898,0.273303195,0.266022799,0.256810125,0.248050031,0.242317077,0.235833348,0.227512862,0.223349614,0.218320157,0.21357424,0.20998311,0.204591981,0.199694473,0.195694168,0.193862373,0.194395323,0.192571313,0.185365275,0.179418106,0.175863353,0.170703888,0.167188325,0.162999722,0.156122386,0.152142887,0.150223483,0.148339786,0.142879856,0.139780024,0.134372653,0.130917607,0.124719565,0.120236417,0.118195758,0.158976681,0.156337924,0.153750913,0.150076501,0.147278912,0.143980297,0.14290294,0.140347714,,
United Arab Emirates,ARE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.049602683,0.044598259,0.039958443,0.036219024,0.033365587,0.037504923,0.03534235,0.032855109,0.029541661,0.029849219,0.025228589,0.021150081,0.020272411,0.019253108,0.020062193,0.017243379,0.016318826,0.014362691,0.012878964,0.01569386,0.01732625,0.015453084,0.018722674,0.018547571,0.019031376,0.020049973,0.018910667,0.017823471,0.016805009,0.019142032,0.018067696,0.018510472,0.018406588,0.018305623,0.017804653,0.018116506,0.016845346,0.012796751,0.014497498,0.019144454,0.021497419,0.02155935,0.0172417,0.015484529,0.014820556,0.00954686,0.007229877,0.007278384,0.0063026,0.00591813,0.005040921,0.004058371,0.004077014,0.004775248,0.00476093,0.004753778,0.004690527,0.004392083,,
Argentina,ARG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.893344805,0.906725378,0.912098125,0.916404357,0.923345158,0.960610395,0.978629167,1.029468409,1.101174681,1.088751505,1.071742262,1.054631023,1.037655935,1.021117295,1.00518929,0.98992255,0.97519271,0.960790828,0.946451038,0.932015492,0.9174793,0.937677442,0.922696835,0.907956819,0.893557924,0.879508507,0.859403758,0.832582361,0.823375862,0.81471801,0.806553958,0.798853064,0.791578406,0.784764694,0.778249376,0.772051005,0.766179556,0.760465214,0.754979445,0.749644787,0.74434663,0.739403164,0.753087611,0.799517406,0.845847949,0.887098753,0.918070805,0.879761979,0.847076088,0.931170398,0.939883654,0.952573308,0.940669174,0.918688993,0.908838702,0.899281236,0.890002684,0.881007725,,
