Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Africa Eastern and Southern,AFE,Arable land (% of land area),AG.LND.ARBL.ZS,,4.735556095,4.789181944,4.9149649,4.96908273,5.025414471,5.054441307,5.074776491,5.119054716,5.18702999,5.280178254,5.337165969,5.39300573,5.401205401,5.42342651,5.471640576,5.492467741,5.483694093,5.570528611,5.5383859,5.523380501,5.519772646,5.518788686,5.546011594,5.547323541,5.715252807,5.747969495,5.748789462,5.777160324,5.839477825,5.814058845,5.827014325,5.857189115,5.877196313,5.897039517,5.910404981,5.924508415,5.953289261,5.940661768,6.021674519,6.032334091,6.046716315,6.124416399,6.282424062,6.435511751,6.528305474,6.562550907,6.629740712,6.84299718,7.000948984,7.072272441,7.716099367,8.144944192,8.189016222,8.246971987,8.249165286,8.253303447,8.23118076,8.247616272,,
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,,11.71767301,11.79425911,11.8708452,11.9474313,11.9474313,12.00104157,12.01482707,12.01482707,12.03933462,12.05465184,12.1006035,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,11.98419263,11.79885427,11.72226817,11.71307784,11.77128328,11.88156726,11.72226817,11.76821983,11.76821983,11.76056122,11.90454309,11.97193885,11.95508991,11.93824097,11.93824097,11.93824097,11.93670925,11.93670925,11.9336458,11.93211408,11.92445547,11.90301137,11.89382103,11.83867904,11.79272738,11.79885427,,
Africa Western and Central,AFW,Arable land (% of land area),AG.LND.ARBL.ZS,,6.984021586,7.076486363,7.331710989,7.445694395,7.698172127,7.436731892,7.696153685,7.795094942,8.40107864,7.985058442,7.831529705,7.361455931,7.910834813,7.372504195,7.3093752,7.360780386,6.764811879,6.601973517,6.536860282,6.787142734,6.404754482,6.560075527,6.596446078,7.019516283,7.27024093,7.820884435,7.812261629,7.907001939,7.921704928,8.104220974,8.428018369,8.570847401,8.722409787,8.85783205,9.226954447,9.444846105,9.525325621,9.632779042,9.821928015,9.803576917,9.710773421,9.922646803,10.25369509,10.11850056,10.35952897,10.43015417,10.58457314,10.72690581,10.37747657,10.61338878,10.78609363,11.03306183,11.11398354,11.11346949,11.11346949,11.20190851,11.22401827,11.22401827,,
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,,2.141653966,2.165717494,2.181759846,2.205823374,2.221865726,2.245929253,2.269992781,2.294056309,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.288682121,3.769952675,3.769952675,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,,
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,,15.76642336,15.91240876,16.05839416,16.16788321,16.78832117,17.33576642,17.81021898,18.24817518,18.61313869,19.01459854,19.34306569,19.7080292,20,20.32846715,20.54744526,20.98540146,21.16788321,21.27737226,21.27737226,21.35036496,21.45985401,21.49635036,21.49635036,21.49635036,21.49635036,21.49635036,21.53284672,21.53284672,21.24087591,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59489051,22.52189781,22.46715328,22.44890511,22.63868613,22.14963504,22.31189781,,
Andorra,AND,Arable land (% of land area),AG.LND.ARBL.ZS,,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,1.595744681,1.808510638,1.829787234,1.723404255,1.70212766,1.659574468,1.638297872,1.617021277,1.638297872,1.638297872,1.638297872,1.617021277,1.723404255,1.70212766,1.723404255,1.744680851,1.744680851,1.765957447,,
Arab World,ARB,Arable land (% of land area),AG.LND.ARBL.ZS,,3.142107958,3.135165647,3.146558158,3.171657284,3.204054737,3.185363899,3.202096649,3.183939835,3.196133382,3.212243104,3.308100405,3.270451716,3.271976432,3.302593915,3.299478764,3.33926369,3.320483781,3.338284643,3.328494169,3.318970708,3.34545839,3.357539835,3.338617519,3.376677542,3.39914579,3.423265958,3.46315769,3.470011021,3.480673738,3.527169589,3.586197247,3.65557672,3.714871285,3.664893674,3.65709157,3.666121932,3.637414533,3.639167914,3.623537005,3.544323311,3.526994203,3.556027357,3.586657744,3.530889992,3.533503613,3.477816502,3.471575515,3.389417375,3.348702566,3.370784886,4.413130618,4.438836103,4.462513626,4.45002531,4.458580926,4.446968488,4.453376714,4.457414207,,
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,,0.070402703,0.070402703,0.070402703,0.070402703,0.070402703,0.084483244,0.084483244,0.084483244,0.084483244,0.098563785,0.098563785,0.098563785,0.112644326,0.126724866,0.154885948,0.154885948,0.168966488,0.168966488,0.168966488,0.225288651,0.267530273,0.253449732,0.323852436,0.337932977,0.366094058,0.40833568,0.40833568,0.40833568,0.40833568,0.492818924,0.492818924,0.535060546,0.563221628,0.591382709,0.60546325,0.647704872,0.633624331,0.506899465,0.60546325,0.844832442,0.999718389,1.056040552,0.901154604,0.887074064,0.957476767,0.712475359,0.627992115,0.7265559,0.702618981,0.712475359,0.635032385,0.52238806,0.528020276,0.61954379,0.620951845,0.626584061,0.626584061,0.595606871,,
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,,6.795435362,7.008466432,7.1619365,7.308098469,7.476550139,7.895669586,8.163511395,8.71527283,9.462891303,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.865932934,9.865932934,9.865932934,9.865932934,9.865932934,9.792851949,9.634631617,9.672268324,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.48109212,11.24533652,12.02090847,12.7358232,13.31279758,12.88454301,12.53046564,13.8784444,14.17076834,14.52630733,14.50621006,14.323873,14.323873,14.323873,14.323873,14.323873,,
